date,winner,loser,weight_class,method,round,time_minutes,winner_strikes_landed,winner_strikes_attempted,loser_strikes_landed,loser_strikes_attempted,winner_takedowns,winner_takedown_attempts,loser_takedowns,loser_takedown_attempts
2004-05-15,Tim Sylvia,Arlovski,Heavyweight,Decision,5,25.0,134,223,123,201,4,8,3,6
2004-04-17,Rich Franklin,Evan Tanner,Middleweight,TKO,4,4.20,123,201,89,156,1,3,0,4
2004-03-13,Tito Ortiz,Patrick Cote,Light Heavyweight,Decision,3,15.0,123,201,89,156,4,7,2,5
2004-02-28,Matt Hughes,BJ Penn,Welterweight,Decision,5,25.0,156,267,134,223,6,12,1,3
2004-01-31,Chuck Liddell,Tito Ortiz,Light Heavyweight,TKO,1,2.06,78,134,45,89,0,4,1,2
2003-12-31,Tim Sylvia,Gan McGee,Heavyweight,TKO,1,1.09,23,34,12,23,0,0,0,1
2003-11-22,Rich Franklin,Edwin Dewees,Middleweight,TKO,1,2.20,34,56,18,34,0,1,0,2
2003-10-04,Matt Hughes,Frank Trigg,Welterweight,Decision,5,25.0,167,289,145,234,7,13,3,6
2003-09-26,Tito Ortiz,Ken Shamrock,Light Heavyweight,TKO,1,1.18,23,34,12,18,0,0,0,1
2003-08-23,Chuck Liddell,Tito Ortiz,Light Heavyweight,Decision,3,15.0,89,156,78,134,1,3,2,5
2003-07-05,BJ Penn,Matt Hughes,Welterweight,Submission,1,4.25,56,89,34,67,0,3,2,5
2003-06-06,Tim Sylvia,Ricco Rodriguez,Heavyweight,TKO,1,3.14,34,56,23,45,0,1,1,2
2003-05-23,Rich Franklin,Evan Tanner,Middleweight,Decision,5,25.0,145,234,134,223,2,5,1,4
2003-04-25,Matt Hughes,Sean Sherk,Welterweight,Decision,5,25.0,156,267,123,201,8,15,2,5
2003-03-21,Tito Ortiz,Ken Shamrock,Light Heavyweight,TKO,1,1.18,34,56,18,34,0,1,0,2
2003-02-28,Chuck Liddell,Vitor Belfort,Light Heavyweight,Decision,3,15.0,89,156,67,123,0,2,1,4
2003-01-25,Ricco Rodriguez,Randy Couture,Heavyweight,TKO,5,3.04,67,123,56,98,2,4,1,3
2002-12-21,BJ Penn,Matt Serra,Lightweight,Decision,3,15.0,123,201,89,156,1,3,0,2
2002-11-22,Rich Franklin,Evan Tanner,Middleweight,Decision,5,25.0,167,289,134,223,3,6,2,5
2002-10-11,Matt Hughes,Gil Castillo,Welterweight,Decision,5,25.0,178,312,145,234,9,16,1,4
2002-09-27,Tito Ortiz,Ken Shamrock,Light Heavyweight,TKO,1,1.18,45,78,23,45,1,2,0,1
2002-08-17,Chuck Liddell,Renato Sobral,Light Heavyweight,Decision,3,15.0,134,223,123,201,0,2,1,3
2002-07-13,Ricco Rodriguez,Pete Williams,Heavyweight,Decision,3,15.0,89,156,78,134,3,6,2,4
2002-06-22,BJ Penn,Din Thomas,Lightweight,TKO,3,1.45,56,89,34,67,0,2,1,3
2002-05-10,Rich Franklin,Tanner Boser,Middleweight,TKO,2,3.28,67,123,45,89,1,2,0,3
2002-04-26,Matt Hughes,Carlos Newton,Welterweight,TKO,2,1.56,78,134,56,98,3,5,1,2
2002-03-22,Tito Ortiz,Elvis Sinosic,Light Heavyweight,TKO,2,4.40,89,145,67,123,2,4,0,3
2002-02-08,Chuck Liddell,Jeff Monson,Light Heavyweight,Decision,3,15.0,123,201,89,156,1,3,2,6
2002-01-11,Ricco Rodriguez,Jeff Monson,Heavyweight,Decision,3,15.0,134,223,123,201,4,7,3,8
